Episode,avg length,reward
2080,270,-100.16061599482649
2100,285,-95.10529754625027
2120,288,-90.15741758693834
2140,296,-89.95263384922796
2160,236,-100.6751386864522
2180,290,-85.18457070423257
2200,266,-95.65984183361601
2220,256,-90.85589952898019
2240,281,-95.0515276982898
2260,285,-94.96884261085377
2280,274,-95.23627533103864
2300,234,-100.50933406001968
2320,245,-90.74872884392093
2340,234,-101.17813250951623
2360,234,-96.14357089892245
2380,265,-100.43291460649472
2400,259,-100.50058340385836
2420,262,-95.77332010390909
2440,230,-100.93954736793333
2460,255,-94.99718779058378
2480,268,-85.7601084488143
2500,204,-101.52895128882062
2520,286,-85.39116470583407
2540,260,-100.19327866435208
2560,240,-95.5625577936277
2580,246,-100.63611741444349
2600,269,-100.24000646361486
2620,308,-94.94676274404684
2640,250,-95.78079620031785
2660,229,-100.59768304655191
2680,257,-100.32589317476346
2700,292,-90.4241349908532
2720,225,-101.11262106254354
2740,226,-101.01794233739261
2760,298,-85.51868646617697
2780,274,-100.22977575437321
2800,262,-100.42125881225742
2820,300,-85.23964058747066
2840,291,-90.47594113134508
2860,276,-90.49408477275743
2880,250,-95.50454988362713
2900,248,-95.99494574691577
2920,297,-95.07374655574782
2940,290,-95.39077727611767
2960,237,-100.57001975291908
2980,269,-100.24440320677886
3000,262,-95.88284617474338
3020,233,-100.30104073909908
3040,240,-90.84868426276668
3060,265,-100.28079085285499
3080,245,-95.80249141081747
3100,251,-100.90421008088788
3120,261,-99.9918618086808
3140,218,-100.97069508375084
3160,229,-101.01953431012316
3180,282,-85.54808319029124
3200,265,-100.3618878527167
3220,250,-100.65564268671868
3240,287,-100.2565010204155
3260,266,-96.08511057106338
3280,234,-100.68500978002366
3300,219,-100.70417059406465
3320,313,-85.19129959805072
3340,285,-85.84355674092157
3360,247,-100.35686719497699
3380,300,-85.171782310926
3400,227,-91.98947234383415
3420,246,-100.62999946934323
3440,291,-95.23362202484108
3460,245,-100.3605293099281
3480,238,-100.85957694742292
3500,259,-91.37286658161115
3520,242,-101.06069106063855
3540,247,-91.73783406188952
3560,235,-101.01159467690543
3580,247,-96.15727025983406
3600,294,-85.26109058896105
3620,237,-96.21856297874393
3640,296,-90.42989047225669
3660,275,-100.25272176540811
3680,261,-95.92144785444935
3700,242,-91.2193419379827
3720,252,-95.73887469826988
3740,287,-90.56589519281818
3760,324,-84.95827670263323
3780,256,-100.54968478848694
3800,268,-100.21824452199915
3820,284,-90.41527944199417
3840,237,-95.38559314040324
3860,265,-100.04858389855113
3880,257,-95.66322904217193
3900,249,-95.51216371572289
3920,284,-90.35460907429153
3940,287,-90.16360202139535
3960,236,-96.39593063307973
3980,209,-96.50082558985062
4000,284,-90.4213149772272
4020,283,-90.32941976803575
4040,223,-96.07189792576096
4060,252,-100.52367695824836
4080,262,-100.31238807279101
4100,220,-95.84674449924907
4120,288,-95.22358752931827
4140,226,-95.93732303961231
4160,284,-95.02168634521956
4180,264,-95.71374960554007
4200,256,-90.70483661861648
4220,285,-95.09559330071792
4240,258,-90.59575320884001
4260,232,-95.81238617272088
4280,289,-90.50754505342846
4300,274,-90.5745681829513
4320,260,-100.14784579636219
4340,297,-99.94127354843319
4360,226,-100.93542672702421
4380,280,-95.36814553742248
4400,263,-95.86186653860241
4420,250,-100.34777269593194
4440,238,-100.71052013776193
4460,267,-95.42507513199254
4480,248,-95.8500402628166
4500,287,-90.22318785402398
4520,245,-100.54924843439578
4540,262,-95.82508101541224
4560,243,-95.69050398148025
4580,224,-100.87124687416957
4600,276,-100.25150648245275
4620,250,-100.36630978512842
4640,222,-100.83566043434872
4660,255,-100.696961142826
4680,256,-100.21349649258924
4700,261,-100.1971278166206
4720,256,-100.23881215717337
4740,293,-90.0222650716658
4760,292,-85.54714186658266
4780,283,-80.77062000035843
4800,280,-90.46939222853504
4820,266,-100.18600633556287
4840,244,-95.59157620783651
4860,303,-85.14169970226266
4880,314,-85.15247016732489
4900,236,-96.39692352401573
4920,303,-94.94704891128173
4940,291,-95.24044450066151
4960,266,-95.37160991583434
4980,307,-80.43501426579067
5000,288,-95.20069474484929
5020,301,-85.13626920453856
5040,282,-100.17059248591025
5060,265,-95.53862632003909
5080,235,-95.27031797864342
5100,281,-85.64350712412956
5120,277,-95.23648510587617
5140,204,-95.89518020187244
5160,241,-100.55147940091265
5180,267,-90.69244693840342
5200,243,-100.75896722735206
5220,247,-95.8435061382473
5240,243,-95.51288272087059
5260,274,-95.63730775362559
5280,258,-95.57567164263338
5300,249,-100.48671290583329
5320,327,-84.95823854196773
5340,191,-96.58702185548898
5360,259,-95.83294856446781
5380,281,-95.01041077465827
5400,256,-100.46758422624679
5420,275,-90.08181214579426
5440,242,-100.92075912273052
5460,240,-95.95426942831995
5480,231,-95.97027057190367
5500,273,-95.68944360062423
5520,252,-100.39435138816087
5540,259,-95.49451217026012
5560,283,-90.64394762233783
5580,251,-95.54990595146081
5600,274,-95.26912556534472
5620,307,-94.94689566343216
5640,221,-96.55526194976578
5660,249,-100.4476439247234
5680,296,-90.24351982318925
5700,239,-96.12536411652599
5720,245,-100.58843144381702
5740,277,-100.01711758496337
5760,289,-90.14281188444866
5780,269,-85.55161650353294
5800,236,-90.96326414080013
5820,222,-100.91802064024998
5840,207,-101.33462492691085
5860,266,-100.39948915035654
5880,275,-95.2322252265802
5900,212,-101.12193828386975
5920,249,-100.39659840667147
5940,259,-95.34415125839087
